tract_geoid_2010,tract_geoid_2000,poppct10,n_deals,total_qlici
36029016500,36029007201,71.47,17,46914468
36033950400,36033950400,100,2,5150000
36033950501,36033950500,100,1,3500000
36043011502,36043011500,100,4,31005731
36047003900,36047003900,100,1,20952684
36047005900,36047005900,100,2,8762500
36047008500,36047008500,100,1,7680000
36047012200,36047012200,100,1,9000050
36047023600,36047023600,100,1,5000000
36047024100,36047024100,100,2,12000000
36047033700,36047033700,100,1,5000000
36047035200,36047035200,100,5,17824455
36047038300,36047038300,100,1,10000000
36047045300,36047045300,100,1,755000
36047050700,36047050700,100,1,11093729
36047051900,36047051900,100,2,11970528
36047052300,36047052300,100,1,4125000
36047057900,36047057900,100,1,3600000
36047077400,36047077400,100,1,4000000
36047114400,36047115400,84.94,1,9960000
36055009601,36055009601,100,4,9960000
36061010900,36061010900,100,1,1000000
36061017800,36061017800,100,2,71000000
36061018400,36061018400,100,1,5420000
36061018600,36061018600,100,3,6511075
36061019600,36061019600,100,3,10890000
36061020000,36061020000,100,3,8653884
36061021303,36061021301,74.46,1,6625000
36061022102,36061022102,100,1,4850000
36061022200,36061022200,100,3,86907988
36061022800,36061022800,100,1,5300000
36065020300,36065020300,100,5,16782894
36067001500,36067001500,100,1,3015000
36067013701,36067013700,78.85,1,6000000
36071000400,36071000400,100,2,1524768
36071002200,36071002200,100,2,5200000
36081024000,36081024000,100,1,2400000
36081087100,36081087100,95.43,1,17150000
36081116700,36081116700,100,1,2287500
36091060902,36091060902,100,1,7994269
36093020200,36093020200,99.27,3,23242447
36093021001,36093021001,100,2,10100000
36103145902,36103145902,100,1,1500000
36103146607,36103146607,100,2,1540000
36105950500,36105950500,99.91,1,4138000
36109000100,36109000100,100,4,18718500
36111951700,36111951700,100,2,2590844
36119000104,36119000104,0,2,4034840
36119000500,36119000500,100,1,2000000
37025041000,37025041000,100,2,19440000
37051003800,37051000100,37.19,1,2897439
37063000401,37063000401,99.96,1,273000
37063000700,37063000700,96.89,15,134447005
37063001100,37063001100,100,1,10000000
37063002200,37063000802,84.12,4,10415000
37063002300,37063001201,86.7,5,42134814
37065020200,37065020200,98.8,1,1249561
37067001901,37067001901,100,2,3900000
37071031600,37071031600,97.79,2,7496000
37081010900,37081010900,100,2,1870000
37105030300,37105030300,100,1,1863370
37109070800,37109070800,100,4,32220640
37119004100,37119004100,100,4,18100332
37127010400,37127010400,88.35,4,31384340
37129011200,37129011200,100,1,300000
37129011300,37129011300,100,1,1137023
37167931201,37167990400,54.05,1,3252848
38017010107,38017010105,100,1,1409892
38085940900,38085940300,99.42,2,9500000
39035101200,39035101200,100,2,11350000
39035101603,39035101600,87.09,1,2104250
39035103602,39035103600,46.25,2,900000
39035104300,39035104500,55.27,7,14895000
39035104400,39035104702,55.81,1,5000000
39035104600,39035104600,70.34,1,2085391
39035105602,39035105602,100,3,60000000
39035107701,39035107700,67.03,9,27610000
39035107802,39035107800,84.28,3,18827610
39035108201,39035111100,56.79,1,450000
39035108301,39035108300,62.36,4,6757390
39035108701,39035108900,40.15,6,10704000
39035109701,39035109700,74.46,3,1570000
39035111202,39035111200,46.54,1,1000000
39035112800,39035112800,100,5,7917500
39035114700,39035114700,100,1,463500
39035118800,39035118800,78.48,1,500000
39035119501,39035119501,100,3,16700000
39035119800,39035119800,100,1,617500
39035121401,39035121401,100,1,401017
39049001500,39049001500,100,1,1985028
39049001700,39049001700,100,3,45453410
39049002200,39049002200,100,3,6886265
39049002520,39049002520,100,1,923900
39049003000,39049003000,100,10,21388015
39049004000,39049004000,100,2,951000
39049005100,39049005100,100,1,1625000
39049005200,39049005200,100,1,5000000
39049005300,39049005300,100,1,1079770
39049007511,39049007511,100,1,5000000
39049007520,39049007520,100,1,1725000
39053953900,39053953900,100,1,270000
39053954100,39053954100,100,7,4907500
39057200104,39057200102,100,1,842500
39061000700,39061000700,100,1,13138268
39061000900,39061000900,100,8,20524347
39061001000,39061001000,100,4,4894400
39061002800,39061002800,100,2,6895000
39061003300,39061003300,100,1,3158000
39061006800,39061006800,100,1,7710526
39061008800,39061008800,100,1,940000
39061026600,39061004400,66.01,1,585000
39061026700,39061003500,55.67,1,150000
39061027000,39061006700,77.66,4,6815789
39071954800,39071954800,100,1,1163000
39079957200,39079957200,100,2,320000
39079957500,39079957500,100,5,5225000
39079957600,39079957600,100,3,1983000
39079957700,39079957700,100,1,350000
39079957800,39079957800,100,1,360000
39083007600,39083987600,100,1,1333850
39087050100,39087050100,100,1,365000
39087050800,39087050800,99.22,1,1100000
39093022200,39093022200,100,1,180000
39093022400,39093022400,100,1,1250000
39093023100,39093023100,100,2,272000
39093023600,39093023600,100,2,679254
39093023900,39093023900,100,1,555046
39093060100,39093060100,100,2,4400000
39093070300,39093070300,100,1,3502794
39093070901,39093070901,100,1,340000
39093071400,39093071400,100,1,80000
39093097300,39093022900,80.05,5,2777622
39095001800,39095001800,100,1,392924
39109315300,39109315300,100,2,16320000
39113001501,39113001500,66.17,1,533000
39113165100,39113003700,57.76,2,1515000
39121968400,39121968400,100,1,600000
39127966300,39127966300,100,1,160000
39131952200,39131952200,100,1,158457
39131952300,39131952300,100,7,10585000
39131952500,39131952500,100,5,4150124
39145002400,39145992400,100,1,102000
39145002800,39145992800,100,2,4687166
39145003100,39145993100,100,1,245000
39145003200,39145993200,100,2,227000
39145003300,39145993300,100,1,140000
39145003500,39145993500,100,1,250000
39145003600,39145993600,100,4,1678400
39145003700,39145993700,100,2,570000
39145004000,39145994000,100,2,685000
39151702300,39151702300,100,2,11375000
39153501100,39153501100,100,2,3840000
39153507500,39153507500,100,1,335000
39153508900,39153501302,94.48,1,4338700
39173021902,39173021900,100,3,9000000
40013796400,40013996400,100,2,3350000
40013796500,40013996500,100,1,8100000
40023967200,40023997200,100,1,2120000
40027200100,40027200100,100,1,600000
40037020103,40037020103,100,1,6000000
40037021000,40037021000,100,3,14600000
40039960600,40039960600,100,1,1898250
40079040402,40079040400,100,1,5000000
40101000400,40101000400,99.46,2,25000000
40101000700,40101000700,100,3,2000000
40109101300,40109101300,100,1,1015000
40109102500,40109102500,100,3,11000000
40109102700,40109102700,100,1,3000000
40109103000,40109103000,100,3,15000000
40109103200,40109103200,100,1,615000
40109103300,40109103300,100,3,4469599
40109103601,40109103601,100,2,10807000
40109103800,40109103800,100,2,8888880
40109106100,40109106100,100,3,500000
40109106804,40109106804,100,1,2847500
40109107002,40109107002,100,1,1360000
40109107206,40109107206,100,1,1567250
40109107217,40109107217,100,1,5310000
40109107604,40109107604,100,1,9797000
40109107809,40109107809,100,1,5000000
40109108003,40109108003,100,4,3210000
40109109100,40109103101,68.13,5,34913856
40119011400,40119011400,100,1,1100000
40121486400,40121986400,100,4,7380000
40133583600,40133983600,100,3,4291000
40143002500,40143002500,100,1,3826250
40143009008,40143009008,100,1,9653050
41005021601,41005021601,100,2,17699118
41011000300,41011000300,98.2,1,2855000
41015950100,41015950100,100,2,3880000
41039001904,41039001904,100,1,1804000
41039004000,41039004000,100,1,750000
41043020400,41043020400,100,1,180000
41045970400,41045970400,100,1,1900000
41047000400,41047000400,100,2,600000
41047000900,41047000900,100,1,600000
41047001000,41047001000,100,5,5001280
41051000502,41051000502,100,1,500000
41051001000,41051001000,100,1,25600
41051001101,41051001101,100,2,4630678
41051002100,41051002100,100,2,2427930
41051002203,41051002301,87.71,1,650000
41051002303,41051002302,85.57,2,50000
41051003301,41051003301,100,2,1015000
41051003302,41051003302,100,2,3786080
41051003401,41051003401,100,1,8562561
41051003402,41051003402,100,2,1292266
41051003601,41051003601,100,1,1585307
41051003701,41051003701,100,1,30000
41051003803,41051003803,100,1,50000
41051003901,41051003901,100,3,13218292
41051004001,41051004001,100,1,50000
41051005100,41051005100,100,11,74001241
41051005200,41051005200,100,2,9920498
41051007400,41051007400,100,4,2978468
41051008100,41051008100,100,2,17375000
41051008500,41051008500,100,1,410000
41051008902,41051008902,100,1,500000
41051010600,41051005300,75.13,12,105273242
41053020203,41053020203,100,1,683000
41067030900,41067030900,100,1,4875381
41067033200,41067033200,100,1,1975000
42003070500,42003070500,100,2,30477116
42003210700,42003210700,98.36,3,3870001
42003241200,42003241200,98.42,2,108779
42003271500,42003271500,100,1,20134
42003563200,42003230400,86.02,3,325364
42003980600,42003210800,100,2,194156
42011002900,42011002900,96.7,2,14000000
42043020500,42043020500,100,1,3500000
42045404700,42045404700,100,2,19807729
42071000400,42071000400,98.72,3,4282500
42101000500,42101000500,100,5,8050000
42101005600,42101005600,100,1,5000000
42101008802,42101008800,100,4,21212946
42101009100,42101009100,100,1,14210000
42101011100,42101011100,100,2,17660000
42101013700,42101013700,100,5,6337316
42101014400,42101014400,100,2,4200000
42101014600,42101014600,100,5,17000000
42101017000,42101017000,100,1,8956899
42101017100,42101017100,100,3,5808248
42101024100,42101024100,100,2,7500000
42101027700,42101027700,100,1,850000
42101037300,42101004700,67.82,1,1500000
42101038300,42101019600,71.59,4,10637500
42129805400,42129805400,100,1,7000000
44003020200,44003020200,100,3,7742403
44007000101,44007000101,100,1,440000
44007000600,44007000600,100,3,23834536
44007000700,44007000700,100,1,7090000
44007000800,44007000800,100,4,20420616
44007001400,44007001400,100,1,345000
44007001900,44007001900,100,10,68189335
44007002500,44007002500,100,3,27833989
44007015200,44007015200,100,1,350000
44007015400,44007015400,100,1,1000000
44007016100,44007016100,100,1,1000000
44007016400,44007016400,100,2,705000
44007017400,44007017400,100,1,189000
44007017600,44007017600,100,4,4127760
44007018000,44007018000,100,1,1015000
44007018400,44007018400,100,1,3250000
45003021201,45003021201,98.52,1,236250
45019005500,45019004100,92.28,9,22686800
45045000700,45045000700,100,4,7290780
45083020400,45083020400,100,2,3093000
45083020603,45083020603,100,1,950000
45083020900,45083020900,100,4,7084699
45091060501,45091060501,100,1,2916981
46031941100,46031940600,62.88,2,8930000
46045962200,46045982200,100,2,9500000
46049961100,46049981100,100,2,14250000
46129965200,46129985200,100,1,500000
47037011900,47037011900,100,2,5258298
47037012801,47037012801,100,1,75000
47037013601,47037013600,100,1,90000
47037014400,47037014400,100,1,1000000
47037019400,47037014000,75.57,2,3105000
47037019500,47037014600,68.17,6,7047000
47039955001,47039955000,100,1,140895
47039955002,47039955000,100,11,2789618
47053966900,47053966900,100,3,4595000
47061955000,47061955000,100,1,100000
47061955200,47061955200,100,1,85000
47061955300,47061955300,99.94,1,132000
47065000400,47065000400,100,1,10200000
47065000800,47065000800,100,5,923525
47065001600,47065001600,100,2,676880
47065001900,47065001900,91.51,2,697500
47065003100,47065003100,100,2,116667
47093000100,47093000100,100,9,15181841
47095960100,47095960100,100,1,158822
47107970700,47107970700,100,9,1000000
47115050102,47115050100,100,2,348600
47115050301,47115050300,100,2,420257
47157004200,47157004200,99.96,14,50475000
47183968201,47183968200,100,2,2572000
47183968203,47183968200,100,1,1900000
47183968500,47183968500,100,5,1718263
48005000700,48005000700,100,1,1607944
48029110100,48029110100,100,5,30295000
48029110300,48029110300,100,2,13500000
48029110600,48029110600,100,1,824974
48029151200,48029151200,100,1,3850000
48029161100,48029161100,100,1,1376532
48029170300,48029170300,100,1,474956
48041000603,48041000603,100,2,8910000
48085031900,48085031900,100,1,1000000
48097000400,48097990400,100,1,2850000
48113004700,48113004700,100,1,3515839
48113009803,48113009803,100,1,3750000
48117950600,48117950100,78.6,1,2500000
48127950200,48127950200,100,1,1071925
48201100000,48201100000,100,2,8000000
48201211500,48201211500,100,1,5000000
48201232302,48201232300,100,1,554600
48201233300,48201233300,100,1,769929
48201313700,48201313700,100,1,927006
48201331800,48201331800,100,1,554000
48201333700,48201333700,100,1,2500000
48201521400,48201521400,100,1,474956
48201534002,48201534000,100,1,5000000
48215020404,48215020401,100,1,1000000
48215020503,48215020503,100,1,7500000
48215021401,48215021401,100,2,18500000
48251130800,48251130800,100,1,1500000
48277000700,48277000700,100,1,2000000
48277000800,48277000800,100,1,5000000
48439104503,48439104503,100,1,15600000
48439106004,48439106004,100,1,1500000
48439106507,48439106507,100,1,708000
48439123600,48439104000,57.04,1,1700000
48441011000,48441011000,100,2,2913967
48453000804,48453000804,100,2,7805270
48453001305,48453001305,100,1,11500000
48453002411,48453002411,100,1,1160000
48479001601,48479001600,100,1,11000000
49011127002,49011127002,100,1,9026650
49019000200,49019000200,100,1,369000
49035100100,49035100100,100,1,238300
49035101700,49035101700,100,2,650000
49035102000,49035102000,100,1,4500000
49035102500,49035102500,100,3,6880089
49035102701,49035102700,100,1,500000
49035102802,49035102802,100,2,6711437
49035102900,49035102900,100,2,12500000
49035111500,49035111500,100,1,1600000
49035111600,49035111600,100,1,1070000
49035114000,49035102200,54.76,3,5826447
49047968402,49047988400,100,1,315000
49049000802,49049000802,100,1,1846120
49049002000,49049002000,100,1,15000000
49057200400,49057200400,100,1,3900000
49057201100,49057201100,100,1,548000
49057201900,49057201900,100,3,2718432
50011010300,50011010300,100,1,4810187
51013103402,51013103402,100,1,5250000
51059421500,51059421500,100,1,6000000
51083930800,51083990800,100,1,6866039
51510200303,51510200303,100,1,3488001
51590000500,51590000500,69.64,2,1026800
51650010309,51650010309,100,1,11437409
51650010502,51650010502,100,2,13000000
51680000500,51680000500,100,4,7773287
51680001100,51680001100,100,2,6060378
51700030900,51700030900,100,1,14965000
51710002600,51710002600,100,1,13300000
51710004200,51710004200,100,2,13538800
51710004700,51710004700,100,2,6720000
51710006604,51710006604,100,2,6969999
51710980300,51710006700,100,1,10200000
51740213101,51740213101,100,4,16525000
51760030200,51760030200,100,3,40004290
51760061000,51760060300,56.03,2,9300000
51770001100,51770001100,86.21,1,5890000
51770002500,51770000700,68.84,1,4141050
51775010300,51775010300,97.38,1,1800000
51800065100,51800065100,100,1,1055437
51800065300,51800065300,100,3,13220000
51820003100,51820003100,95.48,1,1903622
53001950400,53001950400,100,1,1044690
53009000200,53009980200,100,3,14525000
53009000300,53009980300,100,1,19130000
53011041108,53011041108,100,1,694000
53027000200,53027000200,100,1,3166750
53029971900,53029971900,100,1,8000000
53033007300,53033007300,100,3,17200000
53033008100,53033008100,100,4,6753922
53033008200,53033008200,100,2,10619661
53033009000,53033009000,100,4,17186139
53033009100,53033009100,100,4,21336353
53033009200,53033009200,100,3,10236251
53033010001,53033010000,100,1,9070000
53033010702,53033010700,100,3,23110026
53033010900,53033010900,100,2,15770000
53033011001,53033011000,100,4,23475483
53033011101,53033011101,100,1,1400000
53033026200,53033026200,100,1,6000000
53033026500,53033026500,56.06,2,15104974
53033028403,53033028403,100,2,5720000
53033029206,53033029201,100,1,13632500
53033030501,53033030501,100,1,1700000
53035080500,53035080500,100,6,26644232
53037975500,53037975500,100,1,1110000
53041970300,53041970300,100,2,5500000
53045960800,53045960800,100,1,4661126
53049950300,53049950300,100,1,1600000
53049950500,53049950500,100,1,1020100
53053060200,53053060200,100,2,10247850
53053061601,53053061601,100,1,7000000
53061041805,53061041805,100,2,30500000
53061041904,53061041904,100,2,3694985
53063002400,53063002400,100,3,25510000
53063003500,53063003500,100,2,21050000
53077000100,53077000100,100,3,6709977
53077000200,53077000200,100,1,3960000
53077001400,53077001400,100,1,876000
54003971700,54003971700,100,1,5300000
54011000200,54011000200,100,2,582500
54011000600,54011000600,100,1,331000
54011001400,54011001400,100,1,1733800
54039000100,54039000100,100,1,2000000
54047954503,54047953700,84.3,2,160076
54059957300,54059957300,100,1,42000000
54109003100,54109953100,100,3,1587688
55009000100,55009000100,100,1,3000000
55009000900,55009000900,100,1,2375000
55025001401,55025001401,100,2,9540000
55025001402,55025001402,100,3,18200000
55025001502,55025001502,100,10,20761779
55025001603,55025001601,100,1,7000000
55025001606,55025001602,100,1,2000000
55025001704,55025001701,100,2,12400000
55025001705,55025001701,100,4,22222720
55025002000,55025002000,100,2,6435000
55025002500,55025002500,100,5,2702220
55031020300,55031020300,100,2,3284360
55033970800,55033970800,100,1,6784452
55059001100,55059001100,100,1,2000000
55063000100,55063000100,100,1,1000000
55063000200,55063000200,100,2,2466666
55063000300,55063000900,54.28,5,13195900
55067960700,55067960700,100,1,1600000
55079000102,55079000100,100,2,850000
55079000201,55079000201,100,2,672000
55079001300,55079001300,100,2,650000
55079001500,55079001500,100,2,3300000
55079002400,55079002400,100,1,720000
55079003600,55079003600,100,5,5250530
55079004400,55079004400,100,9,16485390
55079004700,55079004700,100,2,3671960
55079004800,55079004800,100,1,80000
55079006000,55079006000,100,1,156000
55079007100,55079007100,100,1,1440000
55079008500,55079008500,100,2,9453800
55079008900,55079008900,100,2,3482900
55079009000,55079009000,100,1,340000
55079011000,55079011000,100,1,140000
55079011300,55079011300,100,2,15000000
55079014100,55079014100,100,2,4650000
55079014400,55079014400,100,1,2500000
55079014900,55079014900,100,1,174000
55079015800,55079015800,100,1,2200000
55079015900,55079015900,100,1,2000000
55079016000,55079016000,100,1,196000
55079018400,55079018400,100,1,146400
55079100200,55079100200,100,8,15968050
55079110100,55079110100,100,2,8077239
55079185300,55079090400,95.58,1,4500000
55079185400,55079010100,53.26,2,1058405
55079185600,55079010500,59.8,2,583574
55079185700,55079008300,51.22,2,2007058
55079186500,55079015500,50.75,4,1269000
55079186800,55079013200,77.01,15,30406713
55079187400,55079015300,66.21,16,61099547
55097960400,55097960400,100,1,1000000
55097961000,55097961000,100,1,150000
55103970100,55103970100,100,1,2703418
55105000400,55105000400,100,1,1435000
55113100300,55113980300,100,1,660000
55137960800,55137960500,96.72,1,58989
56001963500,56001963500,100,3,10565000
56025000200,56025000200,100,3,1461532
72129220300,72129220300,100,1,474956
